		path	0.2021701634423711
		bench	0.15740304119270773
		Sport and leisure facilities	0.09752145407597967
		waste_basket	0.07571657004093699
		Green urban areas	0.06665408493538866
		Water courses	0.05420519573470842
		Discontinuous urban fabric	0.04278514768543616
		Pastures	0.03821918100248103
		footway	0.03400633975337403
		Broad-leaved forest	0.020363099094413247
		Discontinuous urban fabric	0.13920627455972995
		Continuous urban fabric	0.09193182673693592
		Industrial or commercial units	0.08354434138534562
		residential	0.07387094828027853
		secondary	0.07063347191509389
		tertiary	0.051644736090632234
		primary	0.046769507700094165
		waste_basket	0.03572332936883297
		path	0.03516873750438376
		restaurant	0.029851058567960498
		Non-irrigated arable land	0.11802271479486438
		Broad-leaved forest	0.1130902385862394
		Discontinuous urban fabric	0.11083567762394556
		track	0.10848161984321483
		bench	0.06842651882946187
		Pastures	0.06128262317983749
		tourist_info	0.04979535997886817
		residential	0.03921034999270719
		tertiary	0.03280702937891178
		waste_basket	0.02705485258791191
